LOCATION1,LOCATION2,LAT1,LNG1,LAT2,LNG2,LAT1_NEAR,LNG1_NEAR,LAT2_NEAR,LNG2_NEAR
"Worli Naka , Mumbai","Bandra, Mumbai",19.000633,72.8168121,19.0606917,72.8362497,18.998624,72.818104,19.059348,72.833521
"Mumbai , Mumbai","Panvel, Mumbai",19.0176169,72.8561288,18.9894007,73.1175162,19.014153,72.852038,18.988543,73.121323
"thane , Mumbai","Wadala., Mumbai",19.0759837,72.8776559,19.0151285,72.8580644,19.075357,72.878716,19.013655,72.855231
"Mumbai-Pune expressway , Mumbai","Khandala, Mumbai",18.9964198,73.1324692,18.7548203,73.3777772,18.996091,73.127751,19.013655,72.855231
"Mankhurd flyover, Mumbai","Mumbai, Mumbai",19.0512852,72.9371466,19.0176169,72.8561288,19.051552,72.937282,19.014153,72.852038
"WEH , Mumbai","bandra, Mumbai",19.0759837,72.8776559,19.0606917,72.8362497,19.075357,72.878716,19.059348,72.833521
"Jogeshwari , Mumbai","Hiranandani, Mumbai",19.1405116,72.8421555,19.1153798,72.9091436,19.143995,72.841998,19.115548,72.905842
"Ghatkopar , Mumbai","Kurla, Mumbai",19.0856491,72.9082207,19.0599836,72.889999,19.08884,72.907007,19.057373,72.887851
"Powai , Mumbai","Sakinaka, Mumbai",19.1196773,72.9050809,19.0948958,72.8865248,19.123749,72.909776,19.099122,72.887805
"Andheri west, Mumbai","Bandra, Mumbai",19.1363246,72.82766,19.0606917,72.8362497,19.134147,72.825755,19.059348,72.833521
"Borivali , Mumbai","Parle, Mumbai",19.2371877,72.8441358,19.1050428,72.8457203,19.241261,72.84643,19.103449,72.85027
"Wadala , Mumbai","Chembur, Mumbai",19.0151285,72.8580644,19.0327996,72.8963568,19.013655,72.855231,19.034365,72.895869
"Powai , Mumbai","NaviMumbai., Mumbai",19.1196773,72.9050809,19.0330488,73.0296625,19.123749,72.909776,19.029425,73.028982
"Mahalaxmi , Mumbai","Haji Ali., Mumbai",18.983117,72.8168573,18.9778192,72.8104819,18.97968,72.820348,18.9735,72.809168
"chakala , Mumbai","WEH., Mumbai",19.1097712,72.8582672,19.0759837,72.8776559,19.108798,72.85547,19.075357,72.878716
"Thane Belapur , Mumbai","Nerul, Mumbai",19.1425582,73.0120312,19.033,73.02,19.145422,73.00997,19.033719,73.020573
"Pune-Mumbai expressway, Mumbai","Mumbai, Mumbai",19.1792628,73.0225864,19.0176169,72.8561288,19.179518,73.02249,19.014153,72.852038
"andheri , Mumbai","Bandra, Mumbai",19.1171389,72.846563,19.0606917,72.8362497,19.114485,72.84749,19.059348,72.833521
"Panvel , Mumbai","CST, Mumbai",18.9894007,73.1175162,18.9409708,72.8346536,18.988543,73.121323,18.939156,72.835428
"Andheri flyover, Mumbai","Parle WEH, Mumbai",19.1150205,72.8495134,19.1102949,72.8409693,19.11168,72.849467,19.109197,72.840615
"Shiv Sena Bhavan , Mumbai","Mahim, Mumbai",18.957756,72.8276012,19.0351534,72.8404432,18.957648,72.826899,19.031667,72.842153
"Shibili , Mumbai","Mumbai, Mumbai",19.1158852,72.836758,19.0176169,72.8561288,19.116214,72.831926,19.014153,72.852038
"Bandra , Mumbai","Dahisar, Mumbai",19.0606917,72.8362497,19.2499632,72.8593943,19.059348,72.833521,19.247674,72.859154
"Matunga east, Mumbai","Thane, Mumbai",19.0268747,72.8553352,19.0759837,72.8776559,19.025352,72.857047,19.075357,72.878716
"Borivali , Mumbai","Thakur, Mumbai",19.2371877,72.8441358,19.2017785,72.8562594,19.241261,72.84643,19.198915,72.860666
"Santacruz flyover, Mumbai","Chembur, Mumbai",19.0751712,72.8723361,19.0327996,72.8963568,19.071427,72.872137,19.034365,72.895869
"JVLR , Mumbai","EEH, Mumbai",19.1247111,72.8957516,19.0759837,72.8776559,19.123033,72.898429,19.075357,72.878716
"Dadar , Mumbai","Andheri, Mumbai",19.021324,72.8424178,19.1171389,72.846563,19.020988,72.843724,19.114485,72.84749
"Andheri, Mumbai","worli, Mumbai",19.1171389,72.846563,18.9872015,72.8290456,19.114485,72.84749,18.983369,72.824445
"JVLR , Mumbai","Airport, Mumbai",19.1247111,72.8957516,19.0901765,72.8687391,19.123033,72.898429,18.983369,72.824445
"Bandra , Mumbai","Lower Parel, Mumbai",19.0606917,72.8362497,18.9927476,72.8310679,19.059348,72.833521,18.98955,72.835729
"Kandivali , Mumbai","Prabhadevi, Mumbai",19.2045159,72.8520095,19.0158466,72.8279973,19.20041,72.848866,19.012658,72.824591
"Airoli Bridge, Mumbai","EEH, Mumbai",19.1514492,72.9762059,19.0759837,72.8776559,19.20041,72.848866,19.075357,72.878716
"EEH , Mumbai","Matunga, Mumbai",19.0759837,72.8776559,19.0268747,72.8553352,19.075357,72.878716,19.025352,72.857047
"Bandra , Mumbai","Dadar, Mumbai",19.0606917,72.8362497,19.021324,72.8424178,19.059348,72.833521,19.020988,72.843724
"Churchgate , Mumbai","Andheri, Mumbai",18.9322453,72.8264378,19.1171389,72.846563,18.933741,72.827707,19.114485,72.84749
"Kandivali, Mumbai","Goregao, Mumbai",19.2045159,72.8520095,19.1551485,72.8678551,19.20041,72.848866,19.151824,72.871753
"Andheri , Mumbai","Bandra, Mumbai",19.1171389,72.846563,19.0606917,72.8362497,19.114485,72.84749,19.059348,72.833521
"WEH , Mumbai","Bandra, Mumbai",19.0759837,72.8776559,19.0606917,72.8362497,19.075357,72.878716,19.059348,72.833521
"Borivali , Mumbai","Malad, Mumbai",19.2371877,72.8441358,19.1867884,72.8488709,19.241261,72.84643,19.188709,72.846419
"Powai , Mumbai","Bandra, Mumbai",19.1196773,72.9050809,19.0606917,72.8362497,19.123749,72.909776,19.059348,72.833521
"Podar , Mumbai","Thane, Mumbai",18.934219,72.8241112,19.0759837,72.8776559,18.933741,72.827707,19.075357,72.878716
"BWSL , Mumbai","Mahalaxmi, Mumbai",19.0457193,72.8292998,18.983117,72.8168573,19.04966,72.826354,18.97968,72.820348
"Malad , Mumbai","Goregaon, Mumbai",19.1867884,72.8488709,19.1551485,72.8678551,19.188709,72.846419,19.151824,72.871753
"Andheri east, Mumbai","Santacruz, Mumbai",19.1154908,72.8726952,19.0825552,72.8417627,19.111942,72.868469,19.083041,72.840814
"Jogeshwari , Mumbai","Oshiwara, Mumbai",19.1405116,72.8421555,19.1483497,72.8404703,19.143995,72.841998,19.143995,72.841998
"Lkhdwala , Mumbai","Chakala, Mumbai",18.957047,72.827823,19.1097712,72.8582672,18.957648,72.826899,19.108798,72.85547
"Goregaon , Mumbai","Colaba, Mumbai",19.1551485,72.8678551,18.9067031,72.8147123,19.151824,72.871753,18.909984,72.813267
"Andheri , Mumbai","Juhu, Mumbai",19.1171389,72.846563,19.098821,72.8320717,19.114485,72.84749,19.103247,72.836766
"Bandra , Mumbai","Khar, Mumbai",19.0606917,72.8362497,19.0716903,72.8341267,19.059348,72.833521,19.0716,72.834166
"Powai , Mumbai","Ghansoli, Mumbai",19.1196773,72.9050809,19.1253629,72.9992013,19.123749,72.909776,19.124979,72.997642
"Mumbai , Mumbai","Mumbai Pune, Mumbai",19.0176169,72.8561288,19.2014158,73.0007083,19.014153,72.852038,19.203398,73.001555
"Borivali , Mumbai","Borivali, Mumbai",19.2371877,72.8441358,19.2371877,72.8441358,19.241261,72.84643,19.241261,72.84643
"Juhu , Mumbai","Bandra, Mumbai",19.098821,72.8320717,19.0606917,72.8362497,19.103247,72.836766,19.059348,72.833521
"Parsik, Mumbai","Belapur, Mumbai",19.2061723,73.0064264,19.0189704,73.0392364,19.206716,73.009766,19.019338,73.041132
"WEH , Mumbai","goregoan, Mumbai",19.0759837,72.8776559,19.1551485,72.8678551,19.075357,72.878716,19.151824,72.871753
"Goregaon , Mumbai","Dombivali, Mumbai",19.1551485,72.8678551,19.2171324,73.0833339,19.151824,72.871753,19.217063,73.083383
"Malad Oberoi mall, Mumbai","Andheri, Mumbai",19.173808,72.8605943,19.1171389,72.846563,19.17451,72.859091,19.114485,72.84749
"Swami Vivekananda Road, Mumbai","Andheri, Mumbai",19.1705527,72.8773037,19.1171389,72.846563,19.169957,72.881271,19.114485,72.84749
"EEH , Mumbai","Vikroli, Mumbai",19.0759837,72.8776559,19.091182,72.9208636,19.075357,72.878716,19.086808,72.919285
"Mahalaxmi , Mumbai","Churchgate, Mumbai",18.983117,72.8168573,18.9322453,72.8264378,18.97968,72.820348,18.933741,72.827707
"Byculla , Mumbai","Powai, Mumbai",18.9718388,72.8436024,19.1196773,72.9050809,18.969289,72.840712,19.123749,72.909776
"Bandra, Mumbai","Mount Mary, Mumbai",19.0606917,72.8362497,19.0468707,72.8234835,19.059348,72.833521,19.04966,72.826354
"Mahakali , Mumbai","Andheri, Mumbai",19.1253791,72.866447,19.1171389,72.846563,19.126413,72.863732,19.114485,72.84749
"Borivali , Mumbai","Church, Mumbai",19.2371877,72.8441358,18.9352861,72.8272687,19.241261,72.84643,18.933741,72.827707
"Haji Ali south , Mumbai","Saudamini, Mumbai",18.9778192,72.8104819,18.981527,72.8146998,18.9735,72.809168,18.978913,72.815678
"mumbai , Mumbai","Lonavala, Mumbai",19.0176169,72.8561288,18.7493892,73.4080759,19.014153,72.852038,18.753646,73.40576
"WEH Andheri flyover, Mumbai","Vile Parle, Mumbai",19.0759837,72.8776559,19.1030524,72.8466914,19.075357,72.878716,19.103449,72.85027
"Kurla , Mumbai","Ghatkopar, Mumbai",19.0599836,72.889999,19.0856491,72.9082207,19.057373,72.887851,19.08884,72.907007
"akurli Rd, Mumbai","lokhandwala, Mumbai",19.201254,72.8661214,18.957047,72.827823,19.201572,72.861793,18.957648,72.826899
"Borivali , Mumbai","Churchgate, Mumbai",19.2371877,72.8441358,18.9322453,72.8264378,19.241261,72.84643,18.933741,72.827707
"Borivali , Mumbai","jogeshwari, Mumbai",19.2371877,72.8441358,19.1405116,72.8421555,19.241261,72.84643,19.143995,72.841998
"Vashi , Mumbai","Mumbai, Mumbai",19.0770644,72.9989925,19.0176169,72.8561288,19.078352,72.998238,19.014153,72.852038
"Mumbai , Mumbai","bandra, Mumbai",19.0176169,72.8561288,19.0606917,72.8362497,19.014153,72.852038,19.059348,72.833521
"kopar , Mumbai","Ghatkopar, Mumbai",19.252701,73.021649,19.0856491,72.9082207,19.252703,73.021168,19.08884,72.907007
"Dadar , Mumbai","Sion, Mumbai",19.021324,72.8424178,19.0390214,72.8618952,19.020988,72.843724,19.038098,72.865697
"borivali highway, Mumbai","andheri, Mumbai",19.2336951,72.8639138,19.1171389,72.846563,19.234421,72.864247,19.114485,72.84749
"Chembur , Mumbai","Santacruz, Mumbai",19.0327996,72.8963568,19.0825552,72.8417627,19.034365,72.895869,19.083041,72.840814
"WEH , Mumbai","Kandivali, Mumbai",19.0759837,72.8776559,19.2045159,72.8520095,19.075357,72.878716,19.20041,72.848866
"Andheri WEH , Mumbai","bandra, Mumbai",19.0759837,72.8776559,19.0606917,72.8362497,19.075357,72.878716,19.059348,72.833521
"Mumbai-Pune expressway, Mumbai","Mumbai, Mumbai",18.9964198,73.1324692,19.0176169,72.8561288,18.996091,73.127751,19.014153,72.852038
"Pochkanwala Road, Mumbai","Worli, Mumbai",19.0759837,72.8776559,18.9872015,72.8290456,19.075357,72.878716,18.983369,72.824445
"Andheri flyover, Mumbai","Juhu Gali, Mumbai",19.1150205,72.8495134,19.1168205,72.8397219,19.11168,72.849467,19.115941,72.837875
"Kandivali , Mumbai","Goregaon, Mumbai",19.2045159,72.8520095,19.1551485,72.8678551,19.20041,72.848866,19.151824,72.871753
"Shivajinagar , Mumbai","Khadki, Mumbai",19.0637445,72.925386,18.5631806,73.8406198,19.060407,72.925709,18.562669,73.84174
"Malad , Mumbai","Dahisar, Mumbai",19.1867884,72.8488709,19.2499632,72.8593943,19.188709,72.846419,19.247674,72.859154
"Vashi, Mumbai","Dadar, Mumbai",19.0770644,72.9989925,19.021324,72.8424178,19.078352,72.998238,19.020988,72.843724
"Panvel , Mumbai","Dadar, Mumbai",18.9894007,73.1175162,19.021324,72.8424178,18.988543,73.121323,19.020988,72.843724
"Mumbai , Mumbai","Andheri, Mumbai",19.0176169,72.8561288,19.1171389,72.846563,19.014153,72.852038,19.114485,72.84749
"Chandivali , Mumbai","Kopar Khairane, Mumbai",19.1074911,72.9017603,19.102769,73.0090013,19.108159,72.89713,19.10695,73.008701
"Goregaon , Mumbai","Worli, Mumbai",19.1551485,72.8678551,18.9872015,72.8290456,19.151824,72.871753,18.983369,72.824445
"Mulund , Mumbai","Bombay, Mumbai",19.1565109,72.9637728,19.0176169,72.8561288,19.153867,72.963929,19.014153,72.852038
"Mira Road, Mumbai","goregaon, Mumbai",19.2797513,72.8561635,19.1551485,72.8678551,19.281611,72.858482,19.151824,72.871753
"andheri , Mumbai","Kalina, Mumbai",19.1171389,72.846563,19.076277,72.8653997,19.114485,72.84749,19.071737,72.861408
"Haji Ali south , Mumbai","Heera Panna, Mumbai",18.9778192,72.8104819,18.9773569,72.8105456,18.9735,72.809168,18.973227,72.81424
"Vashi Bridge, Mumbai","Navi Mumbai, Mumbai",19.0624142,72.9734576,19.0330488,73.0296625,18.9735,72.809168,19.029425,73.028982
"akurli Road, Mumbai","Lokhandwala, Mumbai",19.201254,72.8661214,18.957047,72.827823,19.201572,72.861793,18.957648,72.826899
"Bangalore , Mumbai","Mumbai, Mumbai",13.0422952,77.5901551,19.0176169,72.8561288,13.0383,77.589075,19.014153,72.852038
"WEH , Mumbai","Parle, Mumbai",19.0759837,72.8776559,19.1050428,72.8457203,19.075357,72.878716,19.103449,72.85027
"Andheri , Mumbai","Wadala, Mumbai",19.1171389,72.846563,19.0151285,72.8580644,19.114485,72.84749,19.013655,72.855231
"TCS Yantra , Mumbai","Dadar, Mumbai",19.0759837,72.8776559,19.021324,72.8424178,19.075357,72.878716,19.020988,72.843724
"India , Mumbai","Goregaon, Mumbai",19.0759837,72.8776559,19.1551485,72.8678551,19.075357,72.878716,19.151824,72.871753
"Bairamal , Mumbai","Mumbai, Mumbai",19.0871834,72.8848886,19.0176169,72.8561288,19.084377,72.884847,19.014153,72.852038
"Koparkhairane , Mumbai","Patlipada, Mumbai",19.1030799,73.0106406,19.2420512,72.9711542,19.10695,73.008701,19.239075,72.975799
"Worli , Mumbai","Borivali, Mumbai",18.9872015,72.8290456,19.2371877,72.8441358,18.983369,72.824445,19.241261,72.84643
"Nilesh , Mumbai","Mulund, Mumbai",19.2478462,72.8619097,19.1565109,72.9637728,19.244402,72.858997,19.153867,72.963929
"Kalanagar , Mumbai","Vakola, Mumbai",19.0531331,72.8471231,19.0788783,72.8500307,19.053133,72.847123,19.081211,72.854278
"Mahakali , Mumbai","Chakala, Mumbai",19.1253791,72.866447,19.1097712,72.8582672,19.126413,72.863732,19.108798,72.85547
"kasara Ghat , Mumbai","Nashik, Mumbai",18.9794978,72.8330254,19.9875634,73.7837693,18.983829,72.83532,19.987563,73.783769
"Andheri , Mumbai","Samta Nagar, Mumbai",19.1171389,72.846563,19.0819402,72.9155115,19.114485,72.84749,19.077984,72.912211
"andheri , Mumbai","khar, Mumbai",19.1171389,72.846563,19.0716903,72.8341267,19.114485,72.84749,19.0716,72.834166
"WEH , Mumbai","Goregaon, Mumbai",19.0759837,72.8776559,19.1551485,72.8678551,19.075357,72.878716,19.151824,72.871753
"Dadar , Mumbai","Sion, Mumbai",19.021324,72.8424178,19.0390214,72.8618952,19.020988,72.843724,19.038098,72.865697
"Grant Road, Mumbai","Kalina, Mumbai",18.9629992,72.8175748,19.076277,72.8653997,18.964242,72.821074,19.071737,72.861408
"Goregaon , Mumbai","Dadar, Mumbai",19.1551485,72.8678551,19.021324,72.8424178,19.151824,72.871753,19.020988,72.843724
"Bandra , Mumbai","Goregaon, Mumbai",19.0606917,72.8362497,19.1551485,72.8678551,19.059348,72.833521,19.151824,72.871753
"Kalyan , Mumbai","CST, Mumbai",18.963397,72.820749,18.9409708,72.8346536,18.964242,72.821074,18.939156,72.835428
"Chandani Chowk , Mumbai","Balewadi, Mumbai",18.507643,73.78396,18.5750146,73.7664129,18.506807,73.783152,18.576366,73.763171
"Andheri , Mumbai","Churchgate, Mumbai",19.1171389,72.846563,18.9322453,72.8264378,19.114485,72.84749,18.933741,72.827707
"Bandra/Sion , Mumbai","Thane, Mumbai",19.0547926,72.8406549,19.0759837,72.8776559,19.053839,72.839392,19.075357,72.878716
"Marol , Mumbai","Borivali, Mumbai",19.1173012,72.8840395,19.2371877,72.8441358,19.11728,72.88718,19.241261,72.84643
"chembur , Mumbai","Motori, Mumbai",19.0327996,72.8963568,19.0759837,72.8776559,19.034365,72.895869,19.075357,72.878716
"Wadala , Mumbai","Nerul, Mumbai",19.0151285,72.8580644,19.033,73.02,19.013655,72.855231,19.033719,73.020573
"KEMPS , Mumbai","Haji Ali, Mumbai",18.9640679,72.808221,18.9778192,72.8104819,18.964068,72.808221,18.9735,72.809168
"Andheri , Mumbai","boriwali, Mumbai",19.1171389,72.846563,19.2371877,72.8441358,19.114485,72.84749,19.241261,72.84643
"Malad , Mumbai","Khar, Mumbai",19.1867884,72.8488709,19.0716903,72.8341267,19.188709,72.846419,19.0716,72.834166
"Thane , Mumbai","Ghatkopar, Mumbai",19.0759837,72.8776559,19.0856491,72.9082207,19.075357,72.878716,19.08884,72.907007
"Malad , Mumbai","Orlam, Mumbai",19.1867884,72.8488709,19.195491,72.8375161,19.188709,72.846419,19.191412,72.842006
"Chheda nagar , Mumbai","Navi Mumbai, Mumbai",19.0689601,72.9047477,19.0330488,73.0296625,19.069309,72.904704,19.029425,73.028982
"Mulund , Mumbai","Kanjurmarg, Mumbai",19.1565109,72.9637728,19.1209644,72.9371971,19.153867,72.963929,19.1165,72.9356
"Bandra , Mumbai","Saki Naka, Mumbai",19.0606917,72.8362497,19.0948958,72.8865248,19.059348,72.833521,19.099122,72.887805
"WEH , Mumbai","Lilavati, Mumbai",19.0759837,72.8776559,19.0242551,72.8520769,19.075357,72.878716,19.021898,72.850698
"Kings , Mumbai","Sion, Mumbai",19.0322606,72.857225,19.0390214,72.8618952,19.036618,72.852967,19.038098,72.865697
"Bandra , Mumbai","Worli, Mumbai",19.0606917,72.8362497,18.9872015,72.8290456,19.059348,72.833521,18.983369,72.824445
"Ulhasnagar , Mumbai","Karjat, Mumbai",19.24436,73.125899,18.8204918,73.3076799,19.240447,73.12931,18.983369,72.824445
"Kharghar , Mumbai","Belapur, Mumbai",19.0473216,73.0699046,19.0189704,73.0392364,19.043458,73.067571,19.019338,73.041132
"ghatkopar , Mumbai","CST, Mumbai",19.0856491,72.9082207,18.9409708,72.8346536,19.08884,72.907007,18.939156,72.835428
"andheri , Mumbai","bandra, Mumbai",19.1171389,72.846563,19.0606917,72.8362497,19.114485,72.84749,19.059348,72.833521
"Mumbai , Mumbai","nahur, Mumbai",19.0176169,72.8561288,19.1546597,72.9466564,19.014153,72.852038,19.152726,72.946262
"Ceaser Road, Mumbai","Andheri, Mumbai",19.1280018,72.8434699,19.1171389,72.846563,19.127976,72.84408,19.114485,72.84749
"Andheri , Mumbai","Malad, Mumbai",19.1171389,72.846563,19.1867884,72.8488709,19.114485,72.84749,19.188709,72.846419
"BWSL , Mumbai","haji ali dargah, Mumbai",19.0457193,72.8292998,18.982747,72.8089648,19.04966,72.826354,18.979042,72.811687
"Vikhroli , Mumbai","Powai, Mumbai",19.091182,72.9208636,19.1196773,72.9050809,19.086808,72.919285,19.123749,72.909776
"JVLR , Mumbai","Andheri, Mumbai",19.1247111,72.8957516,19.1171389,72.846563,19.123033,72.898429,19.114485,72.84749
"Oshiwara , Mumbai","Bandra, Mumbai",19.1483497,72.8404703,19.0606917,72.8362497,19.143995,72.841998,19.059348,72.833521
"Worli, Mumbai","Haji Ali, Mumbai",18.9872015,72.8290456,18.9778192,72.8104819,18.983369,72.824445,18.9735,72.809168
"mahavir nagar , Mumbai","yogi nagar, Mumbai",19.1939104,72.8456311,19.2352291,72.8417576,19.191412,72.842006,19.23114,72.84092
"Lonavala , Mumbai","Mumbai, Mumbai",18.7493892,73.4080759,19.0176169,72.8561288,18.753646,73.40576,19.014153,72.852038
"Chembur , Mumbai","Kalina, Mumbai",19.0327996,72.8963568,19.076277,72.8653997,19.034365,72.895869,19.071737,72.861408
"Airoli , Mumbai","Kandivli, Mumbai",19.157935,72.9934762,19.2045159,72.8520095,19.155468,72.995594,19.20041,72.848866
"Peddar , Mumbai","Chowpatty, Mumbai",18.9682454,72.8073499,18.9547494,72.8138818,18.964068,72.808221,18.956997,72.812969
"Thane , Mumbai","Kasara, Mumbai",19.0759837,72.8776559,18.9735464,72.8463356,19.075357,72.878716,18.975955,72.844344
"bandra , Mumbai","Mehboob studio, Mumbai",19.0606917,72.8362497,19.0525804,72.8242037,19.059348,72.833521,19.054734,72.827624
"Mahim , Mumbai","Vile Parle, Mumbai",19.0351534,72.8404432,19.1030524,72.8466914,19.031667,72.842153,19.103449,72.85027
"Tardeo , Mumbai","Andheri, Mumbai",18.9649699,72.8091825,19.1171389,72.846563,18.964068,72.808221,19.114485,72.84749
"WEH , Mumbai","Andheri, Mumbai",19.0759837,72.8776559,19.1171389,72.846563,19.075357,72.878716,19.114485,72.84749
"Andheri east, Mumbai","Goregaon, Mumbai",19.1154908,72.8726952,19.1551485,72.8678551,19.111942,72.868469,19.151824,72.871753
"Altamont Road, Mumbai","Ballard, Mumbai",18.9660815,72.8089076,18.9360163,72.8384374,18.964068,72.808221,18.936125,72.833647
"Andheri Infinity , Mumbai","Borivali, Mumbai",19.1412664,72.8309492,19.2371877,72.8441358,19.142416,72.831321,19.241261,72.84643
"kandivali , Mumbai","andheri, Mumbai",19.2045159,72.8520095,19.1171389,72.846563,19.20041,72.848866,19.114485,72.84749
"Goregaon , Mumbai","Andheri, Mumbai",19.1551485,72.8678551,19.1171389,72.846563,19.151824,72.871753,19.114485,72.84749
"worli , Mumbai","colaba, Mumbai",18.9872015,72.8290456,18.9067031,72.8147123,18.983369,72.824445,18.909984,72.813267
"Dinshaw Wachha Road, Mumbai","Oval Maidan, Mumbai",18.930752,72.8242405,18.9334056,72.8292074,18.926416,72.826398,18.936125,72.833647
"Hindmata , Mumbai","Parel, Mumbai",19.0098135,72.8419775,18.9944898,72.8389905,19.007854,72.844479,18.997481,72.840563
"EEH , Mumbai","Dadar, Mumbai",19.0759837,72.8776559,19.021324,72.8424178,19.075357,72.878716,19.020988,72.843724
"Bandra , Mumbai","Vashi, Mumbai",19.0606917,72.8362497,19.0770644,72.9989925,19.059348,72.833521,19.078352,72.998238
"Borivali , Mumbai","Andheri, Mumbai",19.2371877,72.8441358,19.1171389,72.846563,19.241261,72.84643,19.114485,72.84749
"Bhivandi Rd, Mumbai","Vasai, Mumbai",19.2251921,72.9955839,19.3919275,72.8397317,19.223356,72.992249,19.114485,72.84749
"Aarey , Mumbai","Goregaon, Mumbai",19.1509735,72.8758099,19.1551485,72.8678551,19.151824,72.871753,19.151824,72.871753
"Airoli , Mumbai","thane, Mumbai",19.157935,72.9934762,19.0759837,72.8776559,19.155468,72.995594,19.075357,72.878716
"Mumbai , Mumbai","Mumbai-Pune, Mumbai",19.0176169,72.8561288,19.2014158,73.0007083,19.014153,72.852038,19.203398,73.001555
"Oshiwara , Mumbai","Powai, Mumbai",19.1483497,72.8404703,19.1196773,72.9050809,19.143995,72.841998,19.123749,72.909776
"Vikhroli , Mumbai","Jogeshwari, Mumbai",19.091182,72.9208636,19.1405116,72.8421555,19.086808,72.919285,19.143995,72.841998
"kandivli thakur complex , Mumbai","magathane, Mumbai",19.2045159,72.8520095,19.2202063,72.8666866,19.20041,72.848866,19.221026,72.865178
