The	O
Indian	O
Express	O
The	O
India	LOCATION
IndianNews	O
Heavy	O
traffic	O
Jam	O
on	O
Delhi	LOCATION
Faridabad	LOCATION
Highway	LOCATION
NH2	LOCATION
made	O
one	O
way	O
I	O
share	O
rick	O
and	O
use	O
metro	O
and	O
Mumbai	LOCATION
local	O
anyway	O
don't	O
think	O
I	O
am	O
adding	O
to	O
the	O
traffic	O
load	O
in	O
city	O
Traffic	O
very	O
heavy	O
after	O
Badarpur	LOCATION
flyover	O
towards	O
Sarita	LOCATION
Vihar	LOCATION
Some	O
religious	O
procession	O
They	O
have	O
reached	O
Neptune	LOCATION
Mall	LOCATION
Roads	O
clear	O
after	O
that	O
Traffic	O
Ramaswamy	O
is	O
probably	O
the	O
best	O
Indian	O
ever	O
While	O
we	O
rate	O
the	O
Delhi	LOCATION
activists	O
high	O
he	O
is	O
almost	O
an	O
unsung	O
hero	O
Mumbai	LOCATION
is	O
All	O
about	O
Traffic	O
at	O
its	O
Slowest	O
and	O
Time	O
at	O
its	O
Fastest	O
Best	O
If	O
they	O
can	O
slap	O
Kejriwal	O
then	O
what	O
is	O
this	O
news	O
about	O
A	O
constable	O
His	O
expression	O
says	O
it	O
all	O
mumbai	LOCATION
traffic	O
streetphotography	O
India	LOCATION
at	O
Mumbai	LOCATION
Maharashtra	LOCATION
India	O
Avoid	O
Surajkund	LOCATION
road	O
to	O
from	O
Delhi	LOCATION
during	O
peak	O
hours	O
as	O
road	O
widening	O
work	O
is	O
going	O
on	O
use	O
Mathura	LOCATION
road	O
instead	O
Report2win	O
Follow	O
for	O
Public	O
Notifications	O
in	O
Mumbai	LOCATION
Get	O
Notices	O
from	O
Railways	O
Traffic	O
Police	O
BEST	O
MCGM	O
more	O
organisations	O
to	O
follow	O
No	O
right	O
turn	O
display	O
near	O
Asia	LOCATION
Pacific	LOCATION
Wrld	O
School	O
SarjapurRd	LOCATION
Agra	LOCATION
everyone	O
takes	O
rightno	O
action	O
We	O
want	O
to	O
solve	O
the	O
traffic	O
issue	O
but	O
not	O
at	O
the	O
cost	O
of	O
Aarey	O
forest	O
We	O
want	O
a	O
Sea	O
Link	O
but	O
only	O
to	O
commit	O
suicides	O
from	O
it	O
Mumbai	LOCATION
Is	O
it	O
the	O
government	O
or	O
is	O
the	O
citizens	O
Who	O
is	O
responsible	O
for	O
growing	O
chaos	O
and	O
traffic	O
in	O
Mumbai	LOCATION
MUM	O
EpicFail	O
if	O
true	O
Seinfeld	O
cancelled	O
in	O
Mumbai	O
due	O
to	O
issues	O
of	O
parking	O
and	O
traffic	O
Wonderful	O
Jam	O
packed	O
traffic	O
at	O
Kasturaba	LOCATION
Rd	O
Ballarpete	LOCATION
Rd	O
Mayohall	LOCATION
Rd	O
and	O
Richmond	LOCATION
Town	LOCATION
Rd	O
Bengaluru	LOCATION
drivesafeRefer	O
Thinking	O
about	O
Mumbais	LOCATION
weather	O
is	O
Metro	O
your	O
most	O
reliable	O
traffic	O
mode	O
Whoever	O
wrote	O
Zindagi	O
ek	O
safar	O
hello	O
suhana	O
must	O
not	O
have	O
experienced	O
Bangalore	LOCATION
traffic	O
Jams	O
TrafficManagement	O
Mumbai	LOCATION
life	O
is	O
more	O
about	O
tackling	O
traffic	O
than	O
real	O
life	O
issues	O
justsaying	O
Have	O
a	O
good	O
evening	O
too	O
Much	O
awaited	O
Jerry	O
Seinfeld	O
show	O
in	O
Mumbai	LOCATION
cancelled	O
organisers	O
blame	O
traffic	O
cops	O
when	O
will	O
BMC	O
suspend	O
corrupt	O
engineers	O
corporations	O
for	O
keeping	O
such	O
firms	O
Gurgaon	LOCATION
Faridabad	LOCATION
highway	O
jam	O
packed	O
as	O
a	O
truck	O
toppled	O
full	O
of	O
stones	O
GurgoanTrafficPolice	O
Stuck	O
Delhi	O
roadrage	O
death	O
Massive	O
jams	O
choke	O
traffic	O
A	O
massive	O
traffic	O
jam	O
choked	O
parts	O
of	O
central	O
Delhi	LOCATION
on	O
Mond	O
even	O
if	O
it	O
were	O
far	O
Mumbai	LOCATION
janta	O
is	O
so	O
sweet	O
I	O
do	O
not	O
go	O
to	O
south	O
side	O
of	O
Bangalore	LOCATION
because	O
its	O
too	O
far	O
and	O
traffic	O
sucks	O
Road	O
rage	O
murder	O
Protesters	O
halt	O
Delhi	LOCATION
traffic	O
Traffic	O
came	O
to	O
a	O
standstill	O
in	O
central	O
Delhi	LOCATION
through	O
Monday	O
Shiv	O
Sena	O
backs	O
bandh	O
in	O
Girgaum	LOCATION
against	O
Mumbai	LOCATION
MetroIII	O
project	O
anyplace	O
anywhere	O 
anytime	O
I	O
travel	O
to	O
Marine	LOCATION
Drive	O
almost	O
every	O
day	O
when	O
in	O
MumbaiTravelSmartWithTraffline	O
need	O
help	O
So	O
traffic	O
Narendra	O
save	O
Delhi	LOCATION
from	O
traffic	O
hazardsKejriwal	O
urged	O
childrento	O
insist	O
their	O
parents	O
for	O
maximum	O
use	O
of	O
public	O
transport	O
Long	O
queues	O
spotted	O
at	O
Airoli	LOCATION
Toll	LOCATION
Plaza	LOCATION
for	O
traffic	O
moving	O
towards	O
EEH	O
Embrace	O
delays	O
Mumbai	LOCATION
Airport	LOCATION
numero	O
uno	O
in	O
freight	O
traffic	O
Viral	O
BMW	O
Ferrari	O
and	O
Lamborghini	O
stuck	O
in	O
Bangalore	LOCATION
traffic	O
behind	O
a	O
BMTC	O
bus	O
Anand	LOCATION
to	O
Maharashtra	LOCATION
5	O
hours	O
Entering	O
Mumbai	LOCATION
to	O
home	O
never	O
ending	O
traffic	O
Mumbai	LOCATION
Have	O
we	O
stopped	O
and	O
asked	O
what	O
really	O
is	O
the	O
cause	O
of	O
these	O
traffic	O
jams	O
how	O
do	O
we	O
compare	O
to	O
places	O
like	O
Mumbai	LOCATION
via	O
Delhi	LOCATION
An	O
accident	O
took	O
place	O
near	O
Akshardham	LOCATION
Mandir	LOCATION
this	O
Finding	O
Parents	O
Girl	O
critical	O
Need	O
help	O
Traffic	O
Kaif	O
You	O
don't	O
want	O
to	O
travel	O
a	O
lot	O
in	O
Delhis	LOCATION
traffic	O
We	O
spotted	O
cricketer	O
Mohd	O
Kaif	O
in	O
Khan	LOCATION
Market	LOCATION
recentl	O
textback	O
Rd	O
is	O
smooth	O
towards	O
Airoli	LOCATION
and	O
chokablock	LOCATION
from	O
Airoli	LOCATION
till	O
Rabale	LOCATION
station	LOCATION
Watch	O
Delhi	O
traffic	O
police	O
creates	O
a	O
green	O
corridor	O
for	O
a	O
liver	O
transplant	O
operation	O
done	O
with	O
the	O
Retweet	O
hope	O
to	O
win	O
please	O
this	O
time	O
greatest	O
fan	O
of	O
Mi	O
Csk	O
would	O
love	O
to	O
Cheer	O
for	O
the	O
team	O
at	O
Wankhede	LOCATION
Mumbai	LOCATION
Delhi	LOCATION
Mumbai	LOCATION
takes	O
too	O
hoursAirport	O
Bhayander	O
takes	O
3	O
hours	O
pathetic	O
traffic	O
Delhis	LOCATION
berightthere	O
may	O
finally	O
be	O
scrapped	O
Commuters	O
who	O
have	O
been	O
spending	O
hours	O
stuck	O
in	O
traffic	O
jams	O
on	O
Delhi’s	LOCATION
of	O
smooth	O
traffic	O
from	O
Karol	LOCATION
Bagh	LOCATION
to	O
ISBT	LOCATION
through	O
Azad	LOCATION
market	LOCATION
Ind	O
Batting	O
stuck	O
in	O
Mumbai	LOCATION
Traffic	O
it	O
seems	O
Bovi	LOCATION
Kandi	LOCATION
people	O
please	O
take	O
note	O
Traveling	O
in	O
Mumbai	LOCATION
local	O
trains	O
is	O
suffocatingbeing	O
stuck	O
in	O
never	O
ending	O
traffic	O
jams	O
aint	O
much	O
different	O
3NovicesTraffic	O
curbs	O
in	O
Mumbai	O
for	O
IPL	O
matches	O
from	O
today	O
The	O
traffic	O
police	O
have	O
announced	O
restrictions	O
in	O
sout…	O
Slow	O
moving	O
traffic	O
from	O
Buddha	LOCATION
Jayanti	LOCATION
Park	LOCATION
towards	O
Gurgaon	LOCATION
and	O
Moti	LOCATION
Bagh	LOCATION
Congested	O
traffic	O
on	O
Old	LOCATION
Mumbai	LOCATION
Pune	LOCATION
Highway	LOCATION
going	O
towards	O
Pune	LOCATION
RTO	LOCATION
Use	O
Ganeshkhind	LOCATION
Road	O
for	O
better	O
commute	O
byipt	O
by	O
Sher	O
Shah	O
is	O
correct	O
but	O
you	O
mean	O
Mughals	O
not	O
Mauryans	O
who	O
came	O
much	O
before	O
SherShah	O
Traffic	O
mismanagement	O
feat	O
8	O
hours	O
15km	O
Worst	O
NCR	LOCATION
jam	O
on	O
Gurgaon	LOCATION
eway	O
I	O
just	O
hate	O
Mumbai	LOCATION
traffic	O
Wish	O
the	O
govt	O
does	O
something	O
to	O
improve	O
this	O
situation	O
as	O
opposed	O
to	O
deciding	O
which	O
movies	O
we	O
watch	O
Is	O
there	O
any	O
place	O
in	O
Bangalore	LOCATION
where	O
one	O
doesnt	O
see	O
traffic	O
jams	O
during	O
a	O
concerthuge	O
event	O
mess	O
noreserve	O
Borivali	LOCATION
West	LOCATION
stn	O
cars	O
parkedhawkers	O
all	O
around	O
Having	O
traffic	O
jam	O
in	O
mybad	O
Rd	O
berightthere	O
corridor	O
At	O
South	O
Delhi	LOCATION
Delhi	LOCATION
traffic	O
police	O
Gaddi	O
side	O
me	O
le	O
loOptimus	O
Prime	O
Sir	O
main	O
khud	O
hi	O
gaddi	O
hoonDTP	O
playerkill	O
h	O
kya	O
NHAI	O
Go	O
and	O
Die35	O
hours	O
from	O
Delhi	O
to	O
Gurgaon	LOCATION
because	O
of	O
stupid	O
toll	O
repairing	O
at	O
peak	O
hours	O
crazy	O
trafficbut	O
don't	O
hear	O
much	O
of	O
honking	O
out	O
therein	O
Bangalore	LOCATION
we	O
would	O
have	O
gone	O
deaf	O
with	O
honking	O
itself	O
Yemen	LOCATION
evacuation	O
IAF	O
plane	O
carrying	O
190	O
Indian	O
nationals	O
lands	O
Mumbai	LOCATION
5	O
hours	O
from	O
Delhi	LOCATION
to	O
Gurgaon	LOCATION
6	O
kissme	O
per	O
hour	O
Rising	O
Delhi	LOCATION
NH8	LOCATION
Traffic	O
Delhi	LOCATION
1030	O
pm	O
Bangalore	LOCATION
A	O
traffic	O
jam	O
extending	O
miles	O
from	O
Whitefield	O
to	O
outer	O
ring	O
road	O
Every	O
guy	O
on	O
the	O
road	O
returning	O
from	O
an	O
office	O
Swaraj	O
Feels	O
AMAZING	O
when	O
a	O
girl	O
is	O
riding	O
at	O
speed	O
of	O
93kph	O
in	O
Bangalore	LOCATION
traffic	O
Bombardier	O
local	O
to	O
run	O
from	O
tomorrow	O
1130	O
am	O
on	O
WR	O
from	O
Churhgate	LOCATION
to	O
borivali	LOCATION
as	O
slow	O
local	O
NH8	LOCATION
Gurgaon	LOCATION
to	O
Delhi	LOCATION
is	O
smooth	O
as	O
silk	O
Oh	O
wow	O
What	O
a	O
chocobloc	O
jam	O
on	O
Kalkaji	LOCATION
flyover	O
from	O
Modi	LOCATION
Mills	LOCATION
to	O
Nehru	LOCATION
Place	LOCATION
1411	O
Bangalore	LOCATION
traffic	O
makes	O
me	O
run	O
back	O
to	O
Goa	LOCATION
but	O
then	O
I	O
am	O
sure	O
the	O
traffic	O
leading	O
out	O
is	O
as	O
bad	O
as	O
M.G	LOCATION
road	O
anyways	O
nammabengaluru	O
Kalanagar	LOCATION
flyover	O
southbound	O
empty	O
fire	O
outside	O
Bandra	LOCATION
station	O
Stuck	O
in	O
Delhi	LOCATION
office	O
traffic	O
Thank	O
god	O
I	O
don't	O
work	O
in	O
Delhi	LOCATION
anymore	O
One	O
of	O
the	O
best	O
decisions	O
of	O
my	O
life	O
Huge	O
traffic	O
jams	O
are	O
occurring	O
in	O
Delhi	LOCATION
writing	O
to	O
Police	O
Commissioner	O
if	O
we	O
can	O
do	O
anything	O
to	O
help	O
police	O
in	O
traffic	O
issue	O
Kejriwal	O
Heavy	O
traffic	O
on	O
Vasant	LOCATION
Kunj	LOCATION
Andheria	LOCATION
Mod	LOCATION
road	O
Vehicles	O
are	O
plying	O
at	O
wrong	O
side	O
No	O
Traffic	O
Police	O
Personnel	O
there	O
Walk	O
the	O
track	O
Commuters	O
stranded	O
at	O
Kalwa	LOCATION
station	O
walk	O
it	O
up	O
due	O
to	O
disruption	O
on	O
Can'tremember	O
Mumbai	LOCATION
The	O
main	O
road	O
to	O
exit	O
Dwarka	LOCATION
via	O
Dwarka	LOCATION
flyover	O
has	O
be	O
closed	O
by	O
All	O
vehicles	O
are	O
being	O
redirected	O
Chaos	O
again	O
In	O
the	O
maddening	O
Mumbai	O
traffic	O
ambulances	O
lose	O
out	O
on	O
precious	O
time…	O
MumbaiInsider	O
Mumbai	O
traffic	O
will	O
not	O
improve	O
unless	O
the	O
people	O
of	O
Mumbai	LOCATION
start	O
demanding	O
change	O
Grt	O
Initiative	O
Flight	O
delay	O
2+	O
hours	O
and	O
counting	O
due	O
to	O
use	O
of	O
airport	O
by	O
veryimportantperson	O
aircraft	O
helicopter	O
Air	O
traffic	O
snarled	O
AirportPeeve	O
Mumbai	LOCATION
Including	O
Mumbai	LOCATION
Stramge	O
but	O
true	O
People	O
who	O
are	O
jumping	O
into	O
wrong	O
side	O
cursing	O
GovtAgencies	O
for	O
Traffic	O
Jam	O
i	O
will	O
suggest	O
even	O
to	O
fine	O
those	O
people	O
who	O
spit	O
Gutkha	O
throw	O
cigarette	O
ash	O
and	O
garbage	O
while	O
driving	O
Please	O
make	O
rules	O
Taylor	O
Swift	O
sounds	O
great	O
this	O
morning	O
Must	O
be	O
the	O
coffee	O
or	O
the	O
Bangalore	LOCATION
traffic	O
Fuck	O
off	O
man	O
Bangalore	LOCATION
is	O
a	O
horrible	O
place	O
to	O
live	O
in	O
Youre	O
effectively	O
spending	O
23rds	O
of	O
your	O
life	O
in	O
traffic	O
here	O
for	O
ways	O
to	O
tackle	O
Bangalore	LOCATION
traffic	O
Stay	O
close	O
to	O
workplace	O
Work	O
form	O
home	O
don't	O
work	O
at	O
all4	O
don't	O
come	O
to	O
Bangalore	LOCATION
The	O
Capital	O
Punishment	O
24	O
lanes	O
shut	O
DelhiGurgaon	LOCATION
in	O
5	O
hours	O
Travel	O
India	O
Delhi	LOCATION
Gurgaon	LOCATION
Jam	O
Traffic	O
highway	O
Smrith	O
drive	O
from	O
Okhla	LOCATION
to	O
Vasant	LOCATION
Vihar	LOCATION
Jeete	O
Raho	O
Kanya	O
i	O
will	O
in	O
Mumbai	LOCATION
traffic	O
at	O
for	O
PM	O
will	O
not	O
be	O
able	O
to	O
tweet	O
so	O
sent	O
now	O
right	O
turning	O
vehiclesif	O
on	O
the	O
left	O
have	O
no	O
way	O
to	O
take	O
left	O
that	O
way	O
until	O
the	O
uturn	O
at	O
Shankar	LOCATION
vihar	LOCATION
for	O
kissme	O
later	O
Why	O
does	O
Bangalore	LOCATION
complain	O
of	O
traffic	O
Chennai	LOCATION
jams	O
are	O
worse	O
After	O
a	O
flight	O
delay	O
and	O
combating	O
the	O
insane	O
Mumbai	LOCATION
traffic	O
I	O
had	O
checked	O
into	O
the	O
hotel	O
The…	O
yearold	O
Delhi	LOCATION
you	O
need	O
to	O
chill	O
This	O
traffic	O
is	O
going	O
to	O
kill	O
your	O
spirit	O
one	O
day	O
Hey	O
is	O
a	O
gem	O
Never	O
miss	O
out	O
putting	O
on	O
his	O
channel	O
when	O
crawling	O
through	O
Mumbai	LOCATION
traffic	O
in	O
mornings	O
FasterCheaperBetter	O
Faster	O
moving	O
Traffic	O
in	O
Delhi	LOCATION
To	O
be	O
successful	O
in	O
life	O
one	O
has	O
to	O
cross	O
many	O
bridges	O
Marathahalli	LOCATION
Bridge	O
is	O
one	O
of	O
them	O
bangaloreTrafficJoke	O
incident	O
at	O
Marol	LOCATION
Naka	LOCATION
2wards	O
signalhorribly	O
traffucked	O
both	O
waysThose	O
out	O
b	O
prepedits	O
goingto	O
b	O
bad	O
Overhead	O
wire	O
snapped	O
between	O
Kalva	LOCATION
and	O
Thane	LOCATION
Do	O
not	O
expect	O
train	O
services	O
to	O
resume	O
soon	O
Search	O
for	O
alternate	O
means	O
yes	O
Bandra	O
Fire	O
All	O
fine	O
now	O
platform	O
noone	O
to	O
resume	O
services	O
in	O
15	O
minutes	O
GRP	O
Mumbai	O
Transport	O
Minister	O
scolds	O
DCP	O
Traffic	O
for	O
using	O
car	O
with	O
tinted	O
glass	O
Traffic	O
Alert	O
DJB	O
work	O
is	O
being	O
carried	O
out	O
near	O
Sainik	LOCATION
Farm	O
House	O
Cariappa	LOCATION
marg	O
Due	O
to	O
this	O
gate	O
No	O
too	O
will	O
remain	O
closed	O
for	O
traffic	O
Motorists	O
can	O
use	O
gate	O
No	O
too	O
Delhis	O
berightthere	O
may	O
finally	O
be	O
scrapped	O
Commuters	O
who	O
have	O
been	O
spending	O
hours	O
stuck	O
in	O
traffic	O
via	O
Hit	O
Me	O
Baby	O
One	O
More	O
Time	O
NOT	O
the	O
song	O
to	O
be	O
singing	O
in	O
Bangalores	LOCATION
bumper	O
to	O
bumper	O
traffic	O
BangaloreTraffic	O
Traffic	O
Alert	O
Traffic	O
is	O
heavy	O
from	O
Delhi	LOCATION
Gate	O
towards	O
JawaharLal	LOCATION
Nehru	LOCATION
Marg	LOCATION
Kindly	O
avoid	O
the	O
stretch	O
Infact	O
we	O
road	O
commuters	O
are	O
thankful	O
for	O
all	O
the	O
updates	O
Traffline	O
has	O
become	O
life	O
line	O
for	O
Mumbai	LOCATION
road	O
commuters	O
Traffic	O
Chaos	O
in	O
Bangalore	LOCATION
as	O
rain	O
lashes	O
the	O
cityremain	O
indoor	O
and	O
enjoy	O
IPL	O
CSKvsKXIP	O
traffic	O
from	O
DoNotDisturb	O
to	O
Nehru	O
Nagar	O
reason	O
being	O
Busses	O
have	O
made	O
their	O
stop	O
not	O
the	O
Bus	O
Stop	O
but	O
Nehru	LOCATION
Nagar	LOCATION
Flyover	O
Its	O
a	O
beautiful	O
day	O
outside	O
and	O
InstantMessage	O
stuck	O
in	O
my	O
room	O
writing	O
about	O
traffic	O
congestion	O
in	O
Mumbai	LOCATION
Fuck	O
exams	O
Delhis	O
berightthere	O
may	O
finally	O
be	O
scrapped	O
Commuters	O
who	O
have	O
been	O
spending	O
hours	O
stuck	O
in	O
traffic	O
via	O
Life	O
is	O
beautiful	O
Unless	O
you	O
are	O
driving	O
your	O
car	O
in	O
Mumbai	LOCATION
traffic	O
In	O
which	O
case	O
life	O
is	O
a	O
BITCH	O
National	O
Green	O
Tribunal	O
Ban	O
Over	O
250	O
DieselRun	O
Vehicles	O
Impounded	O
in	O
Delhi	LOCATION
Delhi	LOCATION
Traffic	O
Police	O
why	O
via	O
Some	O
doctors	O
are	O
prescribing	O
Leave	O
Delhi	LOCATION
so	O
you	O
save	O
your	O
health	O
they	O
have	O
less	O
trafficmore	O
parking	O
cheaper	O
real	O
estate	O
for	O
them	O
“	O
stuck	O
for	O
40	O
minute	O
on	O
ReadtheRules	O
to	O
Moti	LOCATION
Bagh	LOCATION
section”	O
retweet	O
Pathetic	O
at	O
manishsishodia	O
Now	O
Make	O
Delhi	O
pollution	O
free	O
reduce	O
road	O
traffic	O
make	O
common	O
man	O
use	O
mass	O
rapid	O
transport	O
This	O
reminds	O
me	O
of	O
the	O
traffic	O
in	O
Delhi	LOCATION
Shortage	O
of	O
rickshaws	O
at	O
Kurla	LOCATION
Station	O
East	O
stand	O
Very	O
long	O
slow	O
queue	O
Exactly	O
Had	O
actually	O
gone	O
too	O
watch	O
focus	O
at	O
Viviana	LOCATION
mall	O
from	O
Powai	LOCATION
paid	O
the	O
toll	O
Has	O
the	O
toll	O
been	O
removed	O
from	O
today	O
Traffic	O
will	O
remain	O
heavy	O
at	O
Ashram	LOCATION
Chowk	LOCATION
Mathura	LOCATION
Road	O
from	O
06	O
PM	O
to	O
10	O
PM	O
because	O
DMRC	O
work	O
is	O
going	O
on	O
But	O
of	O
course	O
all	O
routes	O
existed	O
via	O
Agra	LOCATION
or	O
Aligarh	LOCATION
Sher	O
Shah	O
improved	O
road	O
added	O
shade	O
trees	O
serais	O
Who	O
is	O
responsible	O
for	O
making	O
Mumbai	LOCATION
dumpyard	O
due	O
to	O
traffic	O
jams	O
Traffic	O
Advisory	O
Replacement	O
of	O
deformed	O
expansion	O
other	O
repairs	O
of	O
Moti	LOCATION
Bagh	LOCATION
flyover	O
Ring	O
Road	O
from	O
14032015	O
to	O
26032015	O
password	O
is	O
carrying	O
out	O
replacement	O
of	O
deformed	O
expansion	O
other	O
relevant	O
structural	O
repair	O
of	O
Moti	LOCATION
Bagh	LOCATION
flyover	O
from	O
AIIMS	LOCATION
to	O
Dhaula	LOCATION
Kuan	LOCATION
stretch	O
at	O
Ring	O
Road	O
wef	O
14032015	O
Half	O
carriageway	O
width	O
in	O
direction	O
from	O
AIIMS	LOCATION
to	O
Dhaula	LOCATION
Kuan	LOCATION
would	O
be	O
closed	O
for	O
general	O
traffic	O
for	O
13	O
days	O
from	O
14032015	O
to	O
26032015	O
to	O
facilitate	O
repairs	O
Suggested	O
Routes	O
a	O
HTVs	O
Buses	O
LGVs	O
coming	O
from	O
AIIMS	LOCATION
towards	O
Dhaula	LOCATION
Kuan	LOCATION
may	O
take	O
Africa	LOCATION
Avenue	O
Road	O
before	O
Hayatt	LOCATION
Regency	O
Flyover	O
towards	O
Outer	O
Ring	O
Road	O
to	O
go	O
to	O
their	O
destinations	O
b	O
HTVs	O
Buses	O
LGVs	O
coming	O
from	O
AIIMS	LOCATION
towards	O
Gurgaon	LOCATION
IGI	LOCATION
Airport	O
may	O
also	O
take	O
left	O
turn	O
after	O
Hayat	LOCATION
Regency	O
flyover	O
on	O
Viveka	LOCATION
Nang	LOCATION
Marg	LOCATION
to	O
ply	O
towards	O
NH8	LOCATION
Adequate	O
traffic	O
staff	O
has	O
been	O
deployed	O
and	O
signages	O
erected	O
to	O
ensure	O
smooth	O
and	O
uninterrupted	O
flow	O
of	O
traffic	O
Motorists	O
are	O
advised	O
to	O
follow	O
the	O
diversions	O
and	O
obey	O
instructions	O
of	O
the	O
traffic	O
police	O
password	O
Replacement	O
of	O
deformed	O
expansion	O
14032015	O
AIIMS	LOCATION
13	O
14032015	O
26032015	O
AIIMS	LOCATION
HTVs	O
Buses	O
LGVs	O
Africa	LOCATION
Avenue	O
Road	O
a	O
AIIMS	LOCATION
HTVs	O
Buses	O
LGVs	O
8	O
[]	O
Traffic	O
ACCIDENT	O
too	O
cars	O
MACQUARIE	LOCATION
PARK	O
metoo	O
Mwy	O
at	O
Delhi	LOCATION
Rd	O
Mathura	LOCATION
road	O
Nizamuddin	LOCATION
to	O
Ashram	LOCATION
heavy	O
congestion	O
